id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4
1,KK0002DS,Kempas,Koompassia malaccensis,Pohon Dewasa,icon/mature_tree.svg,Critically Endangered,115,35,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Siabu,0.218651,101.0069284,277.5414864,"1,46",-,-,-,Andrio Saputra,9/29/21 11:52,200000,"45967,83",-,Chave et al. 2014,media/KamparK_3_1.jpg,media/KamparK_2_1.jpg,media/KamparK_1_1.jpg,media/KamparK_4_1.jpg
2,KK0003DS,Keranji,Dialium spp,Pohon Dewasa,icon/mature_tree.svg,-,45,25,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Siabu,0.2186424,101.0068996,272.0434515,"1,46",-,-,-,Andrio Saputra,9/29/21 13:33,200000,"5486,97",-,Chave et al. 2014,media/KamparK_3_2.jpg,media/KamparK_2_2.jpg,media/KamparK_1_2.jpg,media/KamparK_4_2.jpg
3,KK0004DS,Kolek,Eugenia spp,Pohon Muda,icon/young_tree.svg,Least Concern,30,15,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Siabu,0.2186014,101.0070447,251.5818731,"1,46",-,-,-,Willy Effendi,9/29/21 12:56,50000,"1234,66",-,Chave et al. 2014,media/KamparK_3_3.jpg,media/KamparK_2_3.jpg,media/KamparK_1_3.jpg,media/KamparK_4_3.jpg
4,KK0009DS,Pisang Pisang,Kandelia candel,Pohon Dewasa,icon/mature_tree.svg,Least Concern,55,35,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Siabu,0.2183606,101.0069539,237.6688828,"1,49",-,-,-,Willy Effendi,9/29/21 15:00,200000,"6372,79",-,Chave et al. 2014,media/KamparK_3_4.jpg,media/KamparK_2_4.jpg,media/KamparK_1_4.jpg,media/KamparK_4_4.jpg
5,KK0010DS,Balam,Palaquium spp,Pohon Dewasa,icon/mature_tree.svg,-,50,30,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Siabu,0.2181831,101.0070589,236.3373648,"1,51",-,-,-,Willy Effendi,9/29/21 15:04,200000,"5374,14",-,Chave et al. 2014,media/KamparK_3_5.jpg,media/KamparK_2_5.jpg,media/KamparK_1_5.jpg,media/KamparK_4_5.jpg
6,KK0011DS,Pisang Pisang,Kandelia candel,Pohon Muda,icon/young_tree.svg,Least Concern,35,20,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Siabu,0.2182768,101.0071848,238.130378,"1,50",-,-,-,Willy Effendi,9/29/21 15:18,50000,"1527,42",-,Chave et al. 2014,media/KamparK_3_6.jpg,media/KamparK_2_6.jpg,media/KamparK_1_6.jpg,media/KamparK_4_6.jpg
7,KK0012DS,Kolek,Eugenia spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,60,30,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Siabu,0.2183981,101.0070884,266.0455915,"1,49",-,-,-,Willy Effendi,9/29/21 15:25,200000,"9396,45",-,Chave et al. 2014,media/KamparK_3_7.jpg,media/KamparK_2_7.jpg,media/KamparK_1_7.jpg,media/KamparK_4_7.jpg
8,KK0013DS,Meranti Kapur,Dryobalanops camphora,Pohon Dewasa,icon/mature_tree.svg,Critically Endangered,40,20,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Siabu,0.218186,101.0071682,230.5487422,"1,51",-,-,-,Willy Effendi,9/29/21 15:34,200000,"2777,5",-,Chave et al. 2014,media/KamparK_3_8.jpg,media/KamparK_2_8.jpg,media/KamparK_1_8.jpg,media/KamparK_4_8.jpg
9,KK0014DS,Tampui,Baccaurea macrocarpa,Pohon Dewasa,icon/mature_tree.svg,-,43,30,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Siabu,0.2182783,101.00709,247.8599024,"1,50",-,-,-,Willy Effendi,9/29/21 15:48,200000,"3470,72",-,Chave et al. 2014,media/KamparK_3_9.jpg,media/KamparK_2_9.jpg,media/KamparK_1_9.jpg,media/KamparK_4_9.jpg
10,KK0015DS,Tungkal,Artocarpus Spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,25,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Siabu,0.2181867,101.0071217,270.0044048,"1,51",-,-,-,Willy Effendi,9/29/21 14:58,200000,"2785,68",-,Chave et al. 2014,media/KamparK_3_10.jpg,media/KamparK_2_10.jpg,media/KamparK_1_10.jpg,media/KamparK_4_10.jpg
11,KK0005DS,Pening Pening,Quercus spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,42,8,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Siabu,0.2188269,101.006958,272.550267,"1,44",-,-,-,Willy Effendi,9/29/21 14:21,200000,"1206,12",-,Chave et al. 2014,media/KamparK_3_11.jpg,media/KamparK_2_11.jpg,media/KamparK_1_11.jpg,media/KamparK_4_11.jpg
12,KK0006DS,Kempas,Koompassia malaccensis,Pohon Dewasa,icon/mature_tree.svg,Critically Endangered,40,30,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Siabu,0.2186186,101.0071524,277.1422617,"1,46",-,-,-,Willy Effendi,9/29/21 14:28,200000,"5033,3",-,Chave et al. 2014,media/KamparK_3_12.jpg,media/KamparK_2_12.jpg,media/KamparK_1_12.jpg,media/KamparK_4_12.jpg
13,KK0007DS,Dara Dara,Myristica iners,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,30,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Siabu,0.2185233,101.0072637,303.4813081,"1,47",-,-,-,Willy Effendi,9/29/21 14:35,200000,"2861,16",-,Chave et al. 2014,media/KamparK_3_13.jpg,media/KamparK_2_13.jpg,media/KamparK_1_13.jpg,media/KamparK_4_13.jpg
14,KK0008DS,Durian Daun,Durio oxleyanus,Pohon Dewasa,icon/mature_tree.svg,Near Threatened,55,35,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Siabu,0.2185017,101.0069883,237.0930249,"1,47",-,-,-,Willy Effendi,9/29/21 14:51,200000,"6875,99",-,Chave et al. 2014,media/KamparK_3_14.jpg,media/KamparK_2_14.jpg,media/KamparK_1_14.jpg,media/KamparK_4_14.jpg
15,KK0018DS,Bintangur,Calophyllum spp,Pohon Dewasa,icon/mature_tree.svg,Endangered,48,34,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Desa Siabu,0.2182614,101.0070528,215.9326003,"1,50",-,-,-,Andrio Saputra,10/2/21 11:54,200000,"5443,55",-,Chave et al. 2014,media/KamparK_3_15.jpg,media/KamparK_2_15.jpg,media/KamparK_1_15.jpg,media/KamparK_4_15.jpg
16,KK0019DS,Ridan,Nephelium glabrum,Pohon Dewasa,icon/mature_tree.svg,Least Concern,51,15,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Desa Siabu,0.2182533,101.0071599,204.5639157,"1,50",-,-,-,Andrio Saputra,10/2/21 12:03,200000,"3692,26",-,Chave et al. 2014,media/KamparK_3_16.jpg,media/KamparK_2_16.jpg,media/KamparK_1_16.jpg,media/KamparK_4_16.jpg
17,KK0020DS,Tungkal,Artocarpus Spp,Pohon Muda,icon/young_tree.svg,Least Concern,37,25,Hutan Kemasyarakatan Koperasi Harapan Baru,Mineral,Desa Siabu,0.2183294,101.0072858,243.8514053,"1,50",-,-,-,Andrio Saputra,10/2/21 12:09,50000,"2392,44",-,Chave et al. 2014,media/KamparK_3_17.jpg,media/KamparK_2_17.jpg,media/KamparK_1_17.jpg,media/KamparK_4_17.jpg
